,manufact,model,sales,resale,type,price,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg,lnsales,partition
0,Acura,Integra,16.919,16.360,0.000,21.500,1.800,140.000,101.200,67.300,172.400,2.639,13.200,28.000,2.828,0.0
1,Acura,TL,39.384,19.875,0.000,28.400,3.200,225.000,108.100,70.300,192.900,3.517,17.200,25.000,3.673,0.0
2,Acura,CL,14.114,18.225,0.000,$null$,3.200,225.000,106.900,70.600,192.000,3.470,17.200,26.000,2.647,0.0
3,Acura,RL,8.588,29.725,0.000,42.000,3.500,210.000,114.600,71.400,196.600,3.850,18.000,22.000,2.150,0.0
4,Audi,A4,20.397,22.255,0.000,23.990,1.800,150.000,102.600,68.200,178.000,2.998,16.400,27.000,3.015,0.0
5,Audi,A6,18.780,23.555,0.000,33.950,2.800,200.000,108.700,76.100,192.000,3.561,18.500,22.000,2.933,0.0
6,Audi,A8,1.380,39.000,0.000,62.000,4.200,310.000,113.000,74.000,198.200,3.902,23.700,21.000,0.322,0.0
7,BMW,323i,19.747,$null$,0.000,26.990,2.500,170.000,107.300,68.400,176.000,3.179,16.600,26.100,2.983,0.0
8,BMW,328i,9.231,28.675,0.000,33.400,2.800,193.000,107.300,68.500,176.000,3.197,16.600,24.000,2.223,0.0
9,BMW,528i,17.527,36.125,0.000,38.900,2.800,193.000,111.400,70.900,188.000,3.472,18.500,24.800,2.864,0.0
10,Buick,Century,91.561,12.475,0.000,21.975,3.100,175.000,109.000,72.700,194.600,3.368,17.500,25.000,4.517,0.0
11,Buick,Regal,39.350,13.740,0.000,25.300,3.800,240.000,109.000,72.700,196.200,3.543,17.500,23.000,3.672,0.0
12,Buick,Park Avenue,27.851,20.190,0.000,31.965,3.800,205.000,113.800,74.700,206.800,3.778,18.500,24.000,3.327,0.0
13,Buick,LeSabre,83.257,13.360,0.000,27.885,3.800,205.000,112.200,73.500,200.000,3.591,17.500,25.000,4.422,0.0
14,Cadillac,DeVille,63.729,22.525,0.000,39.895,4.600,275.000,115.300,74.500,207.200,3.978,18.500,22.000,4.155,0.0
15,Cadillac,Seville,15.943,27.100,0.000,44.475,4.600,275.000,112.200,75.000,201.000,$null$,18.500,22.000,2.769,0.0
16,Cadillac,Eldorado,6.536,25.725,0.000,39.665,4.600,275.000,108.000,75.500,200.600,3.843,19.000,22.000,1.877,0.0
17,Cadillac,Catera,11.185,18.225,0.000,31.010,3.000,200.000,107.400,70.300,194.800,3.770,18.000,22.000,2.415,0.0
18,Cadillac,Escalade,14.785,$null$,1.000,46.225,5.700,255.000,117.500,77.000,201.200,5.572,30.000,15.000,2.694,0.0
19,Chevrolet,Cavalier,145.519,9.250,0.000,13.260,2.200,115.000,104.100,67.900,180.900,2.676,14.300,27.000,4.980,0.0
20,Chevrolet,Malibu,135.126,11.225,0.000,16.535,3.100,170.000,107.000,69.400,190.400,3.051,15.000,25.000,4.906,0.0
21,Chevrolet,Lumina,24.629,10.310,0.000,18.890,3.100,175.000,107.500,72.500,200.900,3.330,16.600,25.000,3.204,0.0
22,Chevrolet,Monte Carlo,42.593,11.525,0.000,19.390,3.400,180.000,110.500,72.700,197.900,3.340,17.000,27.000,3.752,0.0
23,Chevrolet,Camaro,26.402,13.025,0.000,24.340,3.800,200.000,101.100,74.100,193.200,3.500,16.800,25.000,3.273,0.0
24,Chevrolet,Corvette,17.947,36.225,0.000,45.705,5.700,345.000,104.500,73.600,179.700,3.210,19.100,22.000,2.887,0.0
25,Chevrolet,Prizm,32.299,9.125,0.000,13.960,1.800,120.000,97.100,66.700,174.300,2.398,13.200,33.000,3.475,0.0
26,Chevrolet,Metro,21.855,5.160,0.000,9.235,1.000,55.000,93.100,62.600,149.400,1.895,10.300,45.000,3.084,0.0
27,Chevrolet,Impala,107.995,$null$,0.000,18.890,3.400,180.000,110.500,73.000,200.000,3.389,17.000,27.000,4.682,0.0
28,Chrysler,Sebring Coupe,7.854,12.360,0.000,19.840,2.500,163.000,103.700,69.700,190.900,2.967,15.900,24.000,2.061,0.0
29,Chrysler,Sebring Conv.,32.775,14.180,0.000,24.495,2.500,168.000,106.000,69.200,193.000,3.332,16.000,24.000,3.490,0.0
30,Chrysler,Concorde,31.148,13.725,0.000,22.245,2.700,200.000,113.000,74.400,209.100,3.452,17.000,26.000,3.439,0.0
31,Chrysler,Cirrus,32.306,12.640,0.000,16.480,2.000,132.000,108.000,71.000,186.000,2.911,16.000,27.000,3.475,0.0
32,Chrysler,LHS,13.462,17.325,0.000,28.340,3.500,253.000,113.000,74.400,207.700,3.564,17.000,23.000,2.600,0.0
33,Chrysler,Town & Country,53.480,19.540,1.000,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,3.979,0.0
34,Chrysler,300M,30.696,$null$,0.000,29.185,3.500,253.000,113.000,74.400,197.800,3.567,17.000,23.000,3.424,0.0
35,Dodge,Neon,76.034,7.750,0.000,12.640,2.000,132.000,105.000,74.400,174.400,2.567,12.500,29.000,4.331,0.0
36,Dodge,Avenger,4.734,12.545,0.000,19.045,2.500,163.000,103.700,69.100,190.200,2.879,15.900,24.000,1.555,0.0
37,Dodge,Stratus,71.186,10.185,0.000,20.230,2.500,168.000,108.000,71.000,186.000,3.058,16.000,24.000,4.265,0.0
38,Dodge,Intrepid,88.028,12.275,0.000,22.505,2.700,202.000,113.000,74.700,203.700,3.489,17.000,$null$,4.478,0.0
39,Dodge,Viper,0.916,58.470,0.000,69.725,8.000,450.000,96.200,75.700,176.700,3.375,19.000,16.000,-0.088,0.0
40,Dodge,Ram Pickup,227.061,15.060,1.000,19.460,5.200,230.000,138.700,79.300,224.200,4.470,26.000,17.000,5.425,0.0
41,Dodge,Ram Wagon,16.767,15.510,1.000,21.315,3.900,175.000,109.600,78.800,192.600,4.245,32.000,15.000,2.819,0.0
42,Dodge,Ram Van,31.038,13.425,1.000,18.575,3.900,175.000,127.200,78.800,208.500,4.298,32.000,16.000,3.435,0.0
